Model,Display Size,Display Technology,Pixel Density,Battery Capacity,Camera Resolution,CPU Manufacturing,Operating System,RAM,Internal Storage,Fast Charging,Refresh Rate,5G,Price
Apple iPhone 16 Pro 8 GB RAM 512 GB,6.3,OLED,460.0,3582,48,3,iOS,8,512,1.0,120.0,1,89999
Samsung Galaxy S25+ 12 GB RAM 512 GB,6.7,Dynamic AMOLED,513.0,4900,50,3,Android,12,512,1.0,120.0,1,58032
Apple iPhone 15 Pro Max 8 GB RAM 1024 GB,6.7,OLED,460.0,4441,48,3,iOS,8,1024,1.0,120.0,1,103154
Apple iPhone 16 Pro 8 GB RAM 256 GB,6.3,OLED,460.0,3582,48,3,iOS,8,256,1.0,120.0,1,77999
Samsung Galaxy S25+ 12 GB RAM 256 GB,6.7,Dynamic AMOLED,513.0,4900,50,3,Android,12,256,1.0,120.0,1,49850
Honor Magic6 Pro 12 GB RAM 512 GB,6.8,OLED,453.0,5600,50,4,Android,12,512,1.0,120.0,1,74999
Samsung Galaxy S24 Ultra 12 GB RAM 1024 GB,6.8,Dynamic AMOLED,505.0,5000,200,4,Android,12,1024,1.0,120.0,1,73125
realme GT7 Pro 12 GB RAM 512 GB,6.78,OLED,450.0,6500,50,3,Android,12,512,1.0,120.0,1,53009
Honor Magic V3 12 GB RAM 512 GB,6.43,OLED,405.0,5150,50,4,Android,12,512,1.0,120.0,1,71550
Xiaomi 14T Pro 12 GB RAM 1024 GB,6.67,AMOLED,446.0,5000,50,4,Android,12,1024,1.0,144.0,1,37999
Vivo X100 Pro 16 GB RAM 512 GB,6.78,AMOLED,452.0,5400,50,4,Android,16,512,1.0,120.0,1,59499
Apple iPhone 15 Pro Max 8 GB RAM 512 GB,6.7,OLED,460.0,4441,48,3,iOS,8,512,1.0,120.0,1,98229
Apple iPhone 16 Pro 8 GB RAM 128 GB,6.3,OLED,460.0,3582,48,3,iOS,8,128,1.0,120.0,1,73999
Apple iPhone 15 Pro 8 GB RAM 1024 GB,6.1,OLED,460.0,3274,48,3,iOS,8,1024,1.0,120.0,1,94999
Apple iPhone 15 Pro Max 8 GB RAM 256 GB,6.7,OLED,460.0,4441,48,3,iOS,8,256,1.0,120.0,1,83683
Xiaomi 14 12 GB RAM 512 GB,6.36,AMOLED,460.0,4610,50,4,Android,12,512,1.0,120.0,1,42389
Samsung Galaxy S24 Ultra 12 GB RAM 512 GB,6.8,Dynamic AMOLED,505.0,5000,200,4,Android,12,512,1.0,120.0,1,63889
Xiaomi 14T Pro 12 GB RAM 512 GB,6.67,AMOLED,446.0,5000,50,4,Android,12,512,1.0,144.0,1,32599
Samsung Galaxy S25 12 GB RAM 256 GB,6.2,Dynamic AMOLED,418.0,4000,50,3,Android,12,256,1.0,120.0,1,43150
Apple iPhone 15 Pro 8 GB RAM 512 GB,6.1,OLED,460.0,3274,48,3,iOS,8,512,1.0,120.0,1,93425
Samsung Galaxy S24 Ultra 12 GB RAM 256 GB,6.8,Dynamic AMOLED,505.0,5000,200,4,Android,12,256,1.0,120.0,1,54419
Xiaomi 14T Pro 12 GB RAM 256 GB,6.67,AMOLED,446.0,5000,50,4,Android,12,256,1.0,144.0,1,33323
Apple iPhone 15 Pro 8 GB RAM 256 GB,6.1,OLED,460.0,3274,48,3,iOS,8,256,1.0,120.0,1,92609
Samsung Galaxy S25 12 GB RAM 128 GB,6.2,Dynamic AMOLED,418.0,4000,50,3,Android,12,128,1.0,120.0,1,41065
Apple iPhone 16 Plus 8 GB RAM 512 GB,6.7,OLED,460.0,4674,48,3,iOS,8,512,1.0,60.0,1,77999
Samsung Galaxy Z Fold6 12 GB RAM 1024 GB,6.3,Dynamic AMOLED,407.0,4400,50,4,Android,12,1024,1.0,120.0,1,83000
Samsung Galaxy S23 Ultra 12 GB RAM 512 GB,6.8,Dynamic AMOLED,500.0,5000,200,4,Android,12,512,1.0,120.0,1,48313
Apple iPhone 16 Plus 8 GB RAM 256 GB,6.7,OLED,460.0,4674,48,3,iOS,8,256,1.0,60.0,1,72314
Apple iPhone 15 Pro 8 GB RAM 128 GB,6.1,OLED,460.0,3274,48,3,iOS,8,128,1.0,120.0,1,73874
Samsung Galaxy S24+ 12 GB RAM 256 GB,6.7,Dynamic AMOLED,513.0,4900,50,4,Android,12,256,1.0,120.0,1,37245
Honor Magic V2 16 GB RAM 512 GB,6.43,OLED,405.0,5000,50,4,Android,16,512,1.0,120.0,1,69972
Apple iPhone 16 8 GB RAM 512 GB,6.1,OLED,460.0,3561,48,3,iOS,8,512,1.0,60.0,1,75999
Apple iPhone 16 Plus 8 GB RAM 128 GB,6.7,OLED,460.0,4674,48,3,iOS,8,128,1.0,60.0,1,65999
Samsung Galaxy Z Fold6 12 GB RAM 512 GB,6.3,Dynamic AMOLED,407.0,4400,50,4,Android,12,512,1.0,120.0,1,69715
Poco F7 Pro 12 GB RAM 512 GB,6.67,AMOLED,526.0,6000,50,4,Android,12,512,1.0,120.0,1,35999
Apple iPhone 16 8 GB RAM 256 GB,6.1,OLED,460.0,3561,48,3,iOS,8,256,1.0,60.0,1,66573
Samsung Galaxy S23 Ultra 8 GB RAM 256 GB,6.8,Dynamic AMOLED,500.0,5000,200,4,Android,8,256,1.0,120.0,1,43610
Samsung Galaxy Z Fold6 12 GB RAM 256 GB,6.3,Dynamic AMOLED,407.0,4400,50,4,Android,12,256,1.0,120.0,1,70000
realme GT 6 16 GB RAM 512 GB,6.78,AMOLED,450.0,5500,50,4,Android,16,512,1.0,120.0,1,35899
OnePlus 11 16 GB RAM 256 GB,6.7,AMOLED,525.0,5000,50,4,Android,16,256,1.0,120.0,1,39300
Xiaomi 14T 12 GB RAM 512 GB,6.67,AMOLED,446.0,5000,50,4,Android,12,512,1.0,144.0,1,25198
Samsung Galaxy Z Fold5 12 GB RAM 1024 GB,6.2,Super AMOLED,402.0,4400,50,4,Android,12,1024,1.0,120.0,1,67000
Honor 200 Pro 12 GB RAM 512 GB,6.78,AMOLED,437.0,5200,50,4,Android,12,512,1.0,120.0,1,29499
Oppo Reno 13 Pro 5G 12 GB RAM 512 GB,6.83,AMOLED,450.0,5800,50,4,Android,12,512,1.0,120.0,1,38449
Apple iPhone 16e 8 GB RAM 512 GB,6.1,OLED,460.0,4005,48,3,iOS,8,512,1.0,60.0,1,59999
Apple iPhone 16 8 GB RAM 128 GB,6.1,OLED,460.0,3561,48,3,iOS,8,128,1.0,60.0,1,54999
Xiaomi 14T 12 GB RAM 256 GB,6.67,AMOLED,446.0,5000,50,4,Android,12,256,1.0,144.0,1,26199
Nubia Red Magic 9S Pro 16 GB RAM 512 GB,6.8,AMOLED,400.0,6500,50,4,Android,16,512,1.0,120.0,1,55499
Huawei Pura 70 Ultra 16 GB RAM 512 GB,6.8,OLED,460.0,5200,50,7,Android,16,512,1.0,120.0,0,69999
Xiaomi 13T Pro 12 GB RAM 512 GB,6.67,AMOLED,446.0,5000,50,4,Android,12,512,1.0,144.0,1,28129
Poco X7 Pro 12 GB RAM 512 GB,6.67,AMOLED,446.0,6000,50,4,Android,12,512,1.0,120.0,1,21300
Poco F6 Pro 16 GB RAM 1024 GB,6.67,AMOLED,526.0,5000,50,4,Android,16,1024,1.0,120.0,1,45249
Samsung Galaxy Z Flip6 12 GB RAM 512 GB,6.7,Dynamic AMOLED,425.0,4000,50,4,Android,12,512,1.0,120.0,1,47285
Apple iPhone 16e 8 GB RAM 256 GB,6.1,OLED,460.0,4005,48,3,iOS,8,256,1.0,60.0,1,47930
Samsung Galaxy Z Fold5 12 GB RAM 512 GB,6.2,Super AMOLED,402.0,4400,50,4,Android,12,512,1.0,120.0,1,57909
Samsung Galaxy S24 8 GB RAM 256 GB,6.2,Dynamic AMOLED,418.0,4000,50,4,Android,8,256,1.0,120.0,1,35150
OnePlus 12R 16 GB RAM 256 GB,6.78,AMOLED,450.0,5500,50,4,Android,16,256,1.0,120.0,1,33998
Xiaomi Mix Flip 12 GB RAM 512 GB,6.86,AMOLED,460.0,4780,50,4,Android,12,512,1.0,120.0,1,45279
Apple iPhone 15 Plus 6 GB RAM 512 GB,6.7,OLED,460.0,4383,48,4,iOS,6,512,1.0,60.0,1,72999
Huawei Mate X6 12 GB RAM 512 GB,6.45,OLED,,5110,50,7,Android,12,512,1.0,120.0,0,109999
Samsung Galaxy S23+ 8 GB RAM 256 GB,6.6,Dynamic AMOLED,393.0,4700,50,4,Android,8,256,1.0,120.0,1,35280
realme GT 6 12 GB RAM 256 GB,6.78,AMOLED,450.0,5500,50,4,Android,12,256,1.0,120.0,1,27241
Tecno Phantom V Fold2 12 GB RAM 512 GB,6.42,AMOLED,431.0,5750,50,4,Android,12,512,1.0,120.0,1,47799
Samsung Galaxy Z Flip6 12 GB RAM 256 GB,6.7,Dynamic AMOLED,425.0,4000,50,4,Android,12,256,1.0,120.0,1,45593
Huawei Pura 70 Pro 12 GB RAM 512 GB,6.8,OLED,460.0,5050,50,7,Android,12,512,1.0,120.0,0,49999
Samsung Galaxy Z Fold5 12 GB RAM 256 GB,6.2,Super AMOLED,402.0,4400,50,4,Android,12,256,1.0,120.0,1,57402
Samsung Galaxy S24 FE 8 GB RAM 256 GB,6.7,Dynamic AMOLED,385.0,4700,50,4,Android,8,256,1.0,120.0,1,25448
Apple iPhone 16e 8 GB RAM 128 GB,6.1,OLED,460.0,4005,48,3,iOS,8,128,1.0,60.0,1,40999
Apple iPhone 15 Plus 6 GB RAM 256 GB,6.7,OLED,460.0,4383,48,4,iOS,6,256,1.0,60.0,1,67999
Nubia Red Magic 9S Pro 12 GB RAM 256 GB,6.8,AMOLED,400.0,6500,50,4,Android,12,256,1.0,120.0,1,45499
Samsung Galaxy S24 8 GB RAM 128 GB,6.2,Dynamic AMOLED,418.0,4000,50,4,Android,8,128,1.0,120.0,1,34999
Apple iPhone 15 6 GB RAM 512 GB,6.1,OLED,460.0,3349,48,4,iOS,6,512,1.0,60.0,1,62999
Samsung Galaxy S23 8 GB RAM 256 GB,6.1,Dynamic AMOLED,425.0,3900,50,4,Android,8,256,1.0,120.0,1,36766
Huawei P60 Pro 8 GB RAM 256 GB,6.67,OLED,444.0,4815,48,4,Android,8,256,1.0,120.0,0,39999
Samsung Galaxy S24 FE 8 GB RAM 128 GB,6.7,Dynamic AMOLED,385.0,4700,50,4,Android,8,128,1.0,120.0,1,23836
Poco F6 Pro 12 GB RAM 512 GB,6.67,AMOLED,526.0,5000,50,4,Android,12,512,1.0,120.0,1,36999
Apple iPhone 15 Plus 6 GB RAM 128 GB,6.7,OLED,460.0,4383,48,4,iOS,6,128,1.0,60.0,1,58999
Apple iPhone 15 6 GB RAM 256 GB,6.1,OLED,460.0,3349,48,4,iOS,6,256,1.0,60.0,1,54999
realme GT 6T 12 GB RAM 256 GB,6.78,AMOLED,450.0,5500,50,4,Android,12,256,1.0,120.0,1,27399
Poco F6 12 GB RAM 512 GB,6.67,AMOLED,446.0,5000,50,4,Android,12,512,1.0,120.0,1,20168
Samsung Galaxy S23 8 GB RAM 128 GB,6.1,Dynamic AMOLED,425.0,3900,50,4,Android,8,128,1.0,120.0,1,32670
Poco F5 Pro 12 GB RAM 512 GB,6.67,AMOLED,526.0,5160,64,4,Android,12,512,1.0,120.0,1,29999
Huawei Pura 70 12 GB RAM 256 GB,6.6,OLED,460.0,4900,50,7,Android,12,256,1.0,120.0,0,37999
Xiaomi 13T 12 GB RAM 256 GB,6.67,AMOLED,446.0,5000,50,4,Android,12,256,1.0,144.0,1,21631
Apple iPhone 15 6 GB RAM 128 GB,6.1,OLED,460.0,3349,48,4,iOS,6,128,1.0,60.0,1,44000
Samsung Galaxy Z Flip5 8 GB RAM 512 GB,6.7,Dynamic AMOLED,425.0,3700,12,4,Android,8,512,1.0,120.0,1,40095
Poco X6 Pro 12 GB RAM 512 GB,6.67,AMOLED,446.0,5000,64,4,Android,12,512,1.0,120.0,1,18875
Samsung Galaxy Z Flip 5 8 GB RAM 256 GB,6.7,Dynamic AMOLED,425.0,3700,12,4,Android,8,256,1.0,120.0,1,43929
Vivo V50 5G 12 GB RAM 256 GB,6.77,AMOLED,387.0,6000,50,4,Android,12,256,1.0,120.0,1,28999
Redmi Note 14 Pro+ 12 GB RAM 512 GB,6.67,AMOLED,446.0,5110,200,4,Android,12,512,1.0,120.0,1,22791
Samsung Galaxy S23 FE 8 GB RAM 256 GB,6.4,Dynamic AMOLED,403.0,4500,50,4,Android,8,256,1.0,120.0,1,25992
OnePlus Nord 3 16 GB RAM 256 GB,6.74,AMOLED,450.0,5000,50,4,Android,16,256,1.0,120.0,1,24249
Vivo V40 12 GB RAM 256 GB,6.78,AMOLED,452.0,5500,50,4,Android,12,256,1.0,120.0,1,25999
Redmi Note 13 Pro+ 5G 12 GB RAM 512 GB,6.67,AMOLED,446.0,5000,200,4,Android,12,512,1.0,120.0,1,17399
Honor 200 12 GB RAM 512 GB,6.7,AMOLED,435.0,5200,50,4,Android,12,512,1.0,120.0,1,18499
Redmi Note 14 Pro 5G 12 GB RAM 512 GB,6.67,AMOLED,446.0,5110,200,4,Android,12,512,1.0,120.0,1,19989
Samsung Galaxy S23 FE 8 GB RAM 128 GB,6.4,Dynamic AMOLED,403.0,4500,50,4,Android,8,128,1.0,120.0,1,22560
Poco X7 12 GB RAM 512 GB,6.67,AMOLED,446.0,5110,50,4,Android,12,512,1.0,120.0,1,16799
Tecno Camon 30 Pro 12 GB RAM 512 GB,6.78,AMOLED,393.0,5000,50,4,Android,12,512,1.0,144.0,1,21749
Vivo V30 12 GB RAM 512 GB,6.78,AMOLED,452.0,5000,50,4,Android,12,512,1.0,120.0,1,23999
Redmi Note 13 Pro 5G 12 GB RAM 512 GB,6.67,AMOLED,446.0,5100,200,4,Android,12,512,1.0,120.0,1,20199
realme 12 Pro+ 12 GB RAM 512 GB,6.7,AMOLED,394.0,5000,50,4,Android,12,512,1.0,120.0,1,19748
Vivo V30 12 GB RAM 256 GB,6.78,AMOLED,452.0,5000,50,4,Android,12,256,1.0,120.0,1,22999
Redmi Note 13 Pro 5G 12 GB RAM 256 GB,6.67,AMOLED,446.0,5100,200,4,Android,12,256,1.0,120.0,1,17434
Honor 200 8 GB RAM 256 GB,6.7,AMOLED,435.0,5200,50,4,Android,8,256,1.0,120.0,1,16937
Nothing Phone 12 GB RAM 256 GB,6.7,AMOLED,394.0,5000,50,4,Android,12,256,1.0,120.0,1,22499
Samsung Galaxy A56 5G 8 GB RAM 256 GB,6.7,Super AMOLED,385.0,5000,50,4,Android,8,256,1.0,120.0,1,19045
Poco X6 5G 12 GB RAM 512 GB,6.67,AMOLED,446.0,5100,64,4,Android,12,512,1.0,120.0,1,20749
Huawei Nova 13 Pro 12 GB RAM 256 GB,6.76,OLED,449.0,5000,50,7,Android,12,256,1.0,120.0,0,27509
Poco X7 8 GB RAM 256 GB,6.67,AMOLED,446.0,5110,50,4,Android,8,256,1.0,120.0,1,15821
Samsung Galaxy A55 5G 8 GB RAM 256 GB,6.6,Super AMOLED,390.0,5000,50,4,Android,8,256,1.0,120.0,1,18499
Oppo Reno13 F 5G 12 GB RAM 256 GB,6.67,AMOLED,394.0,5800,50,4,Android,12,256,1.0,120.0,1,19399
Redmi Note 13 Pro 5G 8 GB RAM 256 GB,6.67,AMOLED,446.0,5100,200,4,Android,8,256,1.0,120.0,1,15199
realme 12 Pro+ 8 GB RAM 256 GB,6.7,AMOLED,394.0,5000,50,4,Android,8,256,1.0,120.0,1,19748
Samsung Galaxy A56 5G 8 GB RAM 128 GB,6.7,Super AMOLED,385.0,5000,50,4,Android,8,128,1.0,120.0,1,17749
Honor Magic7 Lite 8 GB RAM 512 GB,6.78,AMOLED,437.0,6600,108,4,Android,8,512,1.0,120.0,1,18499
Honor 90 12 GB RAM 512 GB,6.7,AMOLED,435.0,5000,200,4,Android,12,512,1.0,120.0,1,28499
Samsung Galaxy A36 5G 8 GB RAM 256 GB,6.7,Super AMOLED,385.0,5000,50,4,Android,8,256,1.0,120.0,1,15795
Samsung Galaxy A55 5G 8 GB RAM 128 GB,6.6,Super AMOLED,390.0,5000,50,4,Android,8,128,1.0,120.0,1,16199
Nothing Phone 12 GB RAM 256 GB,6.7,AMOLED,394.0,5000,50,4,Android,12,256,1.0,120.0,1,17999
Samsung Galaxy A54 5G 8 GB RAM 256 GB,6.4,Super AMOLED,403.0,5000,50,5,Android,8,256,1.0,120.0,1,19958
Samsung Galaxy A35 5G 8 GB RAM 256 GB,6.6,Super AMOLED,390.0,5000,50,5,Android,8,256,1.0,120.0,1,15180
Redmi Note 14 Pro 12 GB RAM 512 GB,6.67,AMOLED,395.0,5500,200,6,Android,12,512,1.0,120.0,0,15640
Honor Magic7 Lite 8 GB RAM 256 GB,6.78,AMOLED,437.0,6600,108,4,Android,8,256,1.0,120.0,1,15899
realme 12 Pro 8 GB RAM 256 GB,6.7,AMOLED,394.0,5000,50,4,Android,8,256,1.0,120.0,1,14509
Tecno Camon 20 Premier 5G 8 GB RAM 512 GB,6.67,AMOLED,395.0,5000,50,6,Android,8,512,1.0,120.0,1,16599
Vivo V29 5G 8 GB RAM 256 GB,6.78,AMOLED,453.0,4600,50,6,Android,8,256,1.0,120.0,1,19899
Redmi Note 14S 12 GB RAM 512 GB,6.67,AMOLED,394.0,5000,200,6,Android,12,512,1.0,120.0,0,17659
Samsung Galaxy A36 5G 8 GB RAM 128 GB,6.7,Super AMOLED,385.0,5000,50,4,Android,8,128,1.0,120.0,1,14499
Redmi Note 13 Pro 12 GB RAM 512 GB,6.67,AMOLED,395.0,5000,200,6,Android,12,512,1.0,120.0,0,15199
Samsung Galaxy A34 5G 8 GB RAM 256 GB,6.6,Super AMOLED,390.0,5000,48,6,Android,8,256,1.0,120.0,1,18861
Oppo Reno11 F 5G 8 GB RAM 256 GB,6.7,AMOLED,394.0,5000,64,6,Android,8,256,1.0,120.0,1,14899
realme 11 Pro+ 12 GB RAM 512 GB,6.7,AMOLED,394.0,5000,200,6,Android,12,512,1.0,120.0,1,18525
Samsung Galaxy A54 5G 8 GB RAM 128 GB,6.4,Super AMOLED,403.0,5000,50,5,Android,8,128,1.0,120.0,1,16250
Samsung Galaxy A35 5G 8 GB RAM 128 GB,6.6,Super AMOLED,390.0,5000,50,5,Android,8,128,1.0,120.0,1,13179
Tecno Phantom V Flip2 8 GB RAM 256 GB,6.9,AMOLED,413.0,4720,50,6,Android,8,256,1.0,120.0,1,35849
Poco M6 Pro 12 GB RAM 512 GB,6.67,AMOLED,394.0,5000,64,6,Android,12,512,1.0,120.0,0,15922
Tecno Camon 30 5G 12 GB RAM 512 GB,6.78,AMOLED,393.0,5000,50,6,Android,12,512,1.0,120.0,1,15799
Redmi Note 14 Pro 8 GB RAM 256 GB,6.67,AMOLED,395.0,5500,200,6,Android,8,256,1.0,120.0,0,12476
Samsung Galaxy A34 5G 8 GB RAM 128 GB,6.6,Super AMOLED,390.0,5000,48,6,Android,8,128,1.0,120.0,1,17328
realme 12+ 8 GB RAM 256 GB,6.67,AMOLED,395.0,5000,50,6,Android,8,256,1.0,120.0,1,13509
Samsung Galaxy A26 5G 8 GB RAM 256 GB,6.7,Super AMOLED,385.0,5000,50,5,Android,8,256,1.0,120.0,1,13729
Poco M7 Pro 5G 12 GB RAM 256 GB,6.67,AMOLED,394.0,5110,50,6,Android,12,256,1.0,120.0,1,15099
Nothing Phone 8 GB RAM 128 GB,6.7,AMOLED,394.0,5000,50,4,Android,8,128,1.0,120.0,1,17599
Tecno Phantom V Flip 5G 8 GB RAM 256 GB,6.9,AMOLED,413.0,4000,64,6,Android,8,256,1.0,120.0,1,21995
Tecno Pova 6 12 GB RAM 256 GB,6.78,AMOLED,393.0,6000,108,6,Android,12,256,1.0,120.0,0,17997
Redmi Note 13 Pro 8 GB RAM 256 GB,6.67,AMOLED,395.0,5000,200,6,Android,8,256,1.0,120.0,0,10950
Reeder S71 12 GB RAM 256 GB,6.95,IPS LCD,387.0,5000,100,4,Android,12,256,1.0,144.0,1,14498
Huawei Nova 13 12 GB RAM 256 GB,6.7,OLED,395.0,5000,50,7,Android,12,256,1.0,120.0,0,27999
Honor X9b 12 GB RAM 256 GB,6.78,AMOLED,429.0,5800,108,4,Android,12,256,1.0,120.0,1,15650
Xiaomi 13 Lite 8 GB RAM 256 GB,6.55,AMOLED,402.0,4500,50,4,Android,8,256,1.0,120.0,1,21559
Huawei Nova 11 Pro 8 GB RAM 256 GB,6.78,OLED,429.0,4500,50,6,Android,8,256,1.0,120.0,0,22300
Samsung Galaxy A26 5G 6 GB RAM 128 GB,6.7,Super AMOLED,385.0,5000,50,5,Android,6,128,1.0,120.0,1,12671
Huawei Nova 11 8 GB RAM 256 GB,6.7,OLED,393.0,4500,50,6,Android,8,256,1.0,120.0,0,18750
Redmi Note 12 Pro 8 GB RAM 256 GB,6.67,AMOLED,395.0,5000,108,8,Android,8,256,1.0,120.0,0,11701
Oppo Reno13 F 8 GB RAM 256 GB,6.67,AMOLED,394.0,5800,50,6,Android,8,256,1.0,120.0,0,14919
Huawei Nova 12s 8 GB RAM 256 GB,6.7,OLED,395.0,4500,50,6,Android,8,256,1.0,120.0,0,19391
Samsung Galaxy A25 5G 8 GB RAM 256 GB,6.5,Super AMOLED,396.0,5000,50,5,Android,8,256,1.0,120.0,1,13920
realme 11 Pro 8 GB RAM 256 GB,6.7,AMOLED,394.0,5000,100,6,Android,8,256,1.0,120.0,1,14600
Tecno Camon 30 8 GB RAM 256 GB,6.78,AMOLED,393.0,5000,50,6,Android,8,256,1.0,120.0,0,12432
Redmi Note 14 8 GB RAM 256 GB,6.67,AMOLED,395.0,5500,108,6,Android,8,256,1.0,120.0,0,11197
Samsung Galaxy M34 5G 6 GB RAM 128 GB,6.5,Super AMOLED,396.0,6000,50,5,Android,6,128,1.0,120.0,1,20054
General Mobile GM Phoneix 5G 8 GB RAM 256 GB,6.78,AMOLED,388.0,4700,50,6,Android,8,256,1.0,120.0,1,16149
Infinix Zero 30 4G 8 GB RAM 256 GB,6.78,AMOLED,388.0,5000,108,6,Android,8,256,1.0,120.0,0,13049
Vivo V50 Lite 8 GB RAM 256 GB,6.77,AMOLED,387.0,6500,50,6,Android,8,256,1.0,120.0,0,14707
realme 12 4G 8 GB RAM 512 GB,6.67,AMOLED,395.0,5000,50,6,Android,8,512,1.0,120.0,0,11750
Poco X5 5G 8 GB RAM 256 GB,6.67,AMOLED,395.0,5000,48,6,Android,8,256,1.0,120.0,1,14850
Samsung Galaxy A25 5G 6 GB RAM 128 GB,6.5,Super AMOLED,396.0,5000,50,5,Android,6,128,1.0,120.0,1,12155
Tecno Spark 20 Pro+ 8 GB RAM 256 GB,6.78,AMOLED,393.0,5000,108,6,Android,8,256,1.0,120.0,0,12000
Redmi Note 13 8 GB RAM 256 GB,6.67,AMOLED,395.0,5000,108,6,Android,8,256,1.0,120.0,0,11992
Tecno Camon 20 Pro 8 GB RAM 256 GB,6.67,AMOLED,395.0,5000,64,6,Android,8,256,1.0,120.0,0,12999
Oppo Reno11 FS 8 GB RAM 256 GB,6.67,OLED,394.0,5000,50,6,Android,8,256,1.0,120.0,0,10499
Vivo V29 Lite 5G 8 GB RAM 256 GB,6.78,AMOLED,388.0,5000,64,6,Android,8,256,1.0,120.0,1,15827
Redmi Note 14 8 GB RAM 128 GB,6.67,AMOLED,395.0,5500,108,6,Android,8,128,1.0,120.0,0,10379
Tecno Spark 30 Pro 8 GB RAM 256 GB,6.78,AMOLED,393.0,5000,108,6,Android,8,256,1.0,120.0,0,10560
Tecno Spark 20 Pro 12 GB RAM 256 GB,6.78,IPS LCD,396.0,5000,108,6,Android,12,256,1.0,120.0,0,11299
realme 12 4G 8 GB RAM 256 GB,6.67,AMOLED,395.0,5000,50,6,Android,8,256,1.0,120.0,0,9509
Infinix Hot 50 Pro+ 8 GB RAM 256 GB,6.78,AMOLED,396.0,5000,50,6,Android,8,256,1.0,120.0,0,11299
Tecno Pova 5 Pro 8 GB RAM 256 GB,6.78,IPS LCD,396.0,5000,50,6,Android,8,256,1.0,120.0,1,11599
Vivo V40 Lite 8 GB RAM 256 GB,6.67,AMOLED,394.0,5000,50,6,Android,8,256,1.0,120.0,0,12399
Infinix Note 30 8 GB RAM 256 GB,6.78,IPS LCD,396.0,5000,64,6,Android,8,256,1.0,120.0,0,15995
Tecno Pova 5 8 GB RAM 256 GB,6.78,IPS LCD,396.0,6000,50,6,Android,8,256,1.0,120.0,0,12499
Tecno Spark 20 Pro 8 GB RAM 256 GB,6.78,IPS LCD,396.0,5000,108,6,Android,8,256,1.0,120.0,0,9309
OnePlus Nord CE 3 Lite 8 GB RAM 256 GB,6.72,IPS LCD,391.0,5000,108,6,Android,8,256,1.0,120.0,1,14799
General Mobile GM 24 Pro 8 GB RAM 256 GB,6.7,AMOLED,394.0,5000,50,6,Android,8,256,1.0,120.0,0,9359
Samsung Galaxy A16 5G 8 GB RAM 256 GB,6.7,Super AMOLED,385.0,5000,50,5,Android,8,256,1.0,90.0,1,11949
Vivo V30 Lite 8 GB RAM 256 GB,6.67,AMOLED,395.0,5000,50,6,Android,8,256,1.0,120.0,0,11167
Redmi Note 12S 8 GB RAM 256 GB,6.43,AMOLED,409.0,5000,108,12,Android,8,256,1.0,90.0,0,9486
realme 11 4G 8 GB RAM 256 GB,6.4,Super AMOLED,409.0,5000,108,6,Android,8,256,1.0,90.0,0,11484
Infinix Hot 40 Pro 8 GB RAM 256 GB,6.78,IPS LCD,396.0,5000,108,6,Android,8,256,1.0,120.0,0,11000
Infinix Note 30 8 GB RAM 128 GB,6.78,IPS LCD,396.0,5000,64,6,Android,8,128,1.0,120.0,0,8084
Tecno Camon 20 8 GB RAM 256 GB,6.67,AMOLED,395.0,5000,64,12,Android,8,256,1.0,60.0,0,9499
