Garanti Tipi,Kamera Çözünürlüğü,Dahili Hafıza,Ekran Boyutu,Mobil Bağlantı Hızı,RAM Kapasitesi,Pil Gücü (mAh),Cep Telefonu Modeli,Ön Kamera Çözünürlüğü,Ön Kamera Çözünürlük Aralığı,Arka Kamera Sayısı,Kablosuz Şarj,İşletim Sistemi,Garanti Süresi,Ekran Boyut Aralığı,Yüz Tanıma,Görüntü Teknolojisi,Ekran Teknolojisi,Ekran Cinsi,Ön Kamera Sayısı,Dokunmatik Ekran,Ekran Çözünürlüğü,Çift Hat,Batarya Kapasitesi Aralığı,Ana Kamera Çözünürlük Aralığı,Şarj Hızı,Kulaklık Girişi,Parmak İzi Okuyucu,Ekran Yenileme Hızı,Radio,Şarj Girişi,NFC,Görüntülü Konuşma,Video Kayıt Çözünürlüğü,Suya/Toza Dayanıklılık,Renk,Yapay Zeka,Menşei,İşlemci Markası,Bluetooth,Ana Kamera Flaş,Arttırılabilir Hafıza (Hafıza Kartı Desteği),GPS,CPU Aralık,Kozmetik Durum,Uyumlu Marka,Materyal,Ön Kamera Flaş,Tamir Edilebilirlik,Kapasite,Çözünürlük,Bellek Kapasitesi,Bağlantılar,İşlemci Çekirdek Sayısı,İşlemci Tipi,Ram (Sistem Belleği),Görüntüleme Teknolojisi,HDMI,Hızlı Şarj,Sim Kart Uyumu,CE Uygunluk Sembolu,SSD Kapasitesi,Ekran Kartı,Kullanım Amacı,Cihaz Ağırlığı,Şarjlı Kullanım Süresi,Ekran Kartı Tipi,Ekran Kartı Hafızası,İşlemci Modeli,İşlemci Nesli,Hard Disk Kapasitesi,Panel Tipi,Ram (Sistem Belleği) Tipi,Temel İşlemci Hızı (GHz),Maksimum İşlemci Hızı (GHz),Optik Sürücü Tipi,Klavye,Ekran Kartı Bellek Tipi,Çözünürlük Standartı,Bakım Talimatları (Genel),Ekran Yenilenme Hızı,Tepki Süresi,Curved (Kavisli),Kontrast,Sync Teknolojisi,DVI-I,DVI-D,D-Sub (VGA),HDCP,Mini DisplayPort,DisplayPort,Dahili Hoparlör,Vesa Uyumluluğu,3D Desteği,Type-C,HDMI Giriş Sayısı,Çeşit,Bağlantı Tipi,Uzunluk,Priz Tipi,Frekans,Voltaj,Görüntü Kalitesi,Smart TV,Dahili Uydu Alıcı,Çözünürlük (Piksel),HDR,Wi-Fi Özelliği,Kurulum Gerekli mi?,Model Yılı,Kasa Çapı,Kasa Renk,Kordon Renk,Adımsayar,Nabız Sensörü,Titreşim,Uyku Takibi,Sesli Görüşme,Aktif Gürültü Önleme (ANC),Mikrofon,Dış Materyal,Bağlama Şekli,Taban Materyali,Saya Materyali,Topuk Boyu,İç Taban Materyali,Astar Materyali,Topuk Tipi,Desen,Kumaş Tipi,Ek Özellik,Sürdürülebilirlik Detayı,Ortam,Ürün Türü
,,,,,,,iPhone 5S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Apple Uyumlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asus Uyumlu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,256 GB,"6,67 inç",,8 GB,,Xiaomi Mi 10T Pro,,,,,,1 Yıl,,,,,,,,,,,20 - 40 MP,,,,,,,,,,,Mavi,,,,,,,,,A seviye-Mükemmel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,108 MP + 5 MP + 12 MP + 2 MP,512 GB,"6,7 inç",5G,8 GB,4000 - 5000,Honor 7,10 - 20 MP,15 - 20 MP,2,Var,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,FHD+,OLED,1,Var,FHD+,Var,6000-7000 mAh,5 - 10 MP,40-60 W,USB Type-C,Var,120 Hz,,USB Type-C,Var,,720p (HD),Var,Siyah,Var,CN,,,Var,Yok,,,,,,Var,Yetkili Servis ile Tamiri Gerekir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,20 MP ve üstü,512 GB,"6,8 inç",5G,12 GB,4000 - 5000,Honor 7,10 - 20 MP,40 - 60 MP,4,Var,Android,2 Yıl,,Var,AMOLED,,AMOLED,1,Var,FHD+,Var,2000-3000 mAh,5 - 10 MP,10-20 W,USB Type-C,Var,120 Hz,,USB Type-C,Var,,,Var,Beyaz,Yok,,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,10 - 15 MP,,12 inç,,,,,,,,,Android,2 Yıl,,,,,,,,,,,,,,,,,,,,,,Gri,,CN,,Var,,,,,,,,,,256 GB,2560 x 1600,4 - 16 GB,USB-C,2,Qualcomm Snapdragon,8 GB,LCD,Yok,Yok,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
İthalatçı Garantili,,,,,,,Honor 90,,,,,,Belirtilmemiş,,,,,,,,,,,,,,,,,,,,,,Siyah,,,,,,,,,,Honor Uyumlu,Silikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Honor 8S,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siyah,,HK,,,,,,,,Huawei Uyumlu,Silikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Honor 8S,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siyah,,HK,,,,,,,,Huawei Uyumlu,Silikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,20 MP ve üstü,512 GB,"6,8 inç",5G,12 GB,4000 - 5000,Honor 7,10 - 20 MP,40 - 60 MP,4,Var,Android,2 Yıl,,Var,AMOLED,,AMOLED,1,Var,FHD+,Var,2000-3000 mAh,5 - 10 MP,10-20 W,USB Type-C,Var,120 Hz,,USB Type-C,Var,,,Var,Beyaz,Yok,,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honor Türkiye Garantili,50 MP,512 GB,6 inç ve üstü,3G,12 GB,5000 ve üstü,,,,3,Var,Android,2 Yıl,,Var,,,LCD,3,Var,,Var,5000-6000 mAh,,10-20 W,,Var,60 Hz,,,Var,,,Var,Siyah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,20 MP ve üstü,512 GB,"6,7 inç",5G,12 GB,4000 - 5000,Honor 20,10 - 20 MP,20 - 40 MP,3,Var,Android,2 Yıl,7'' Üstü,Var,AMOLED,FHD+,AMOLED,1,Var,FHD+,Var,4500-5000 mAh,10 - 15 MP,10-20 W,USB Type-C,Var,60 Hz,,USB Type-C,Var,,4320p (Ultra HD) 8K,Var,Siyah,Var,CN,,,Var,Var,,,,,,Var,Yetkili Servis ile Tamiri Gerekir.,,,,,,,,,,,,Ürün görselinde bulunuyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,20 MP ve üstü,512 GB,"6,7 inç",5G,12 GB,4000 - 5000,,10 - 20 MP,20 - 40 MP,3,Var,Android,2 Yıl,,Var,OLED,FHD+,AMOLED,1,Var,FHD+,Var,4000-4500 mAh,10 - 15 MP,10-20 W,USB Type-C,Var,120 Hz,,USB Type-C,Var,,,Var,Siyah,Var,,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honor Türkiye Garantili,50 MP,512 GB,"6,43 inç",5G,16 GB,5000,Lg V20,16 MP,15 - 20 MP,3,Yok,Android,2 Yıl,6'' - 6.5'',Var,OLED,,OLED,1,Var,FHD+,Var,4500-5000 mAh,60 - 80 MP,10-20 W,USB Type-C,Yok,60 Hz,,USB Type-C,Var,,,Yok,Çok Renkli,Yok,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nova 11 Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siyah,,,,,,,,,,Huawei Uyumlu,Silikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Huawei P60 Pro,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siyah,,,,,,,,,,Huawei Uyumlu,Silikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei Türkiye Garantili,,,"14,2 inç",,,,,,,,,Windows,2 Yıl,,,,,,,Yok,,,,,,,Yok,Belirtilmemiş,,,,,,Yok,Gri,,TR,,,,,,,,,,,,,1920 x 1280,,Bluetooth,Belirtilmemiş,Intel Core Ultra 5,16 GB,,,Yok,,,512 GB,Dahili Ekran Kartı,Ev - Okul,2 - 4 kg,3 Saat ve Altı,Dahili,Paylaşımlı,Belirtilmemiş,Belirtilmemiş,HDD Yok,IPS,Birleşik Bellek,2,4.7,Yok,Q Türkçe,Dahili,Full HD (FHD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei Türkiye Garantili,12 MP + 12 MP + 8 MP,128 GB,"6,71 inç",5G,8 GB,5020,Xiaomi Redmi Note 14,5 - 8 MP,5 - 10 MP,2,Yok,Android,2 Yıl,6.5'' - 7'',Yok,LCD,,LCD,2,Var,FHD+,Yok,4500-5000 mAh,10 - 15 MP,10-20 W,USB Type-C,Yok,60 Hz,,USB Type-C,Yok,,,Var,Siyah,Yok,,,,Var,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei Türkiye Garantili,50 MP + 12 MP + 10 MP,256 GB,"7,0 inç",5G,8 GB,4500,,,120 MP ve üstü,3,,Android,2 Yıl,6.5'' - 7'',,,FHD+,HD,2,Var,FHD+,Var,4500-5000 mAh,15 - 20 MP,,3.5 mm,,120 Hz,,USB Type-C,Var,,,Var,Siyah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huawei Türkiye Garantili,20 MP ve üstü,512 GB,"6,8 inç",4G,16 GB,5020,,13 MP,10 - 15 MP,3,Var,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,FHD+,AMOLED,1,Var,FHD+,Var,5000-6000 mAh,40 - 60 MP,80-100 W,USB Type-C,Var,120 Hz,,USB Type-C,Var,,,Var,Siyah,Yok,,,,Var,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Huawei Pura 70 Pro 5G,,,,,,,,,,,,,,,,,,,,,,,,,,,,Siyah,,CN,,,,,,,,Huawei Uyumlu,Silikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nemli bir bezle silin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,,,43 inç,,,,,,,,,,2 Yıl,,,,,,,Yok,,,,,,,,,,,,,,,Siyah,,VN,,,,,,,,,,,Yetkili Servis ile Tamiri Gerekir.,,3840 x 2160,,,,,,LED,Var,,,Ürün görselinde bulunuyor,,,,,,,,,,,VA,,,,,,,Ultra HD 4K (UHD),,60 Hz,4 ms,Yok,500.000:1,Yok,Yok,Yok,Yok,Yok,Yok,Yok,Var,Yok,Yok,Yok,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
İthalatçı Garantili,,,,,,,,,,,,,Belirtilmemiş,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plastik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tuş Bordu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung TR Garantili,50 MP,256 GB,"6,6 inç",5G,8 GB,5000,Xiomi Redmi Note 12,32 MP,20 - 40 MP,3,Yok,Android,2 Yıl,6.5'' - 7'',Var,AMOLED,FHD+,Super AMOLED,1,Var,FHD+,Var,5000-6000 mAh,20 - 40 MP,20-40 W,USB Type-C,Var,120 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Siyah,Yok,TR,,,Var,Var,,,,,,Yok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
İthalatçı Garantili,,,,,,,,,,,,,2 Yıl,,,,,,,,,,,,,,,,,,,,,,Siyah,,VN,,,,,,,,,,,Yetkili Servis ile Tamiri Gerekir.,,,,,,,,,,,,Ürün görselinde bulunuyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB Type C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Çok Renkli,,TR,,,,,,,,Nothing Uyumlu,Suni Deri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,,,,,,,,,,,,,2 Yıl,,,,,,,,,,,,,,,,,,,,,,Siyah,,CN,,,,,,,,,,,Tamir Edilmez.,,,,,,,,,,,,Ürün görselinde bulunuyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USB Type C,1 m,C / F,50 Hz / 60 Hz,220 - 240 V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,50 MP,256 GB,"6,7 inç",5G,12 GB,5000,,,20 - 40 MP,2,Yok,Android,2 Yıl,6.5'' - 7'',Yok,,FHD+,LCD,1,Var,FHD+,Var,4500-5000 mAh,40 - 60 MP,10-20 W,USB Type-C,Var,60 Hz,,USB Type-C,Var,,,Var,Beyaz,Yok,,,,Var,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resmi Distribütör Garantili,20 MP ve üstü,256 GB,6 inç ve üstü,4G,8 GB,4500,Nothing Phone 1,16 MP,15 - 20 MP,2,Var,Android,2 Yıl,6'' - 6.5'',,OLED,HD,HD,1,Var,HD,Var,4500-5000 mAh,120 MP ve üstü,,USB Type-C,,120 Hz,,USB Type-C,Var,,,Var,Siyah,,,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
İthalatçı Garantili,5 MP ve altı,256 GB,"4 - 4,5 inç",5G,12 GB,900-3000,,5 MP,15 - 20 MP,3,,Android,2 Yıl,6'' - 6.5'',,,,AMOLED,1,Var,FHD+,Var,4000-4500 mAh,20 - 40 MP,10-20 W,3.5 mm,,60 Hz,,USB Type-C,Var,Var,,Var,Gri,,,Samsung,Var,Var,Var,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oneplus Türkiye Garantili,64 MP + 12 MP + 5 MP + 5 MP,256 GB,"6,8 inç",5G,16 GB,5000 ve üstü,,10 - 20 MP,15 - 20 MP,4,Yok,Android,2 Yıl,6.5'' - 7'',Var,,Dinamik AMOLED,LCD,1,Var,FHD+,Yok,5000-6000 mAh,40 - 60 MP,10-20 W,USB Type-C,Var,60 Hz,,USB Type-C,Var,,2160p (Ultra HD) 4K,Var,Gri,Yok,CN,,,Var,Var,,,,,,Var,Yetkili Servis ile Tamiri Gerekir.,,,,,,,,,,,,Ürün görselinde bulunuyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oneplus Türkiye Garantili,64 MP + 12 MP + 5 MP + 5 MP,256 GB,"6,8 inç",5G,16 GB,5000 ve üstü,,10 - 20 MP,15 - 20 MP,4,Yok,Android,2 Yıl,6.5'' - 7'',Var,,Dinamik AMOLED,LCD,1,Var,FHD+,Yok,5000-6000 mAh,40 - 60 MP,10-20 W,USB Type-C,Var,60 Hz,,USB Type-C,Var,,2160p (Ultra HD) 4K,Var,Gri,Yok,CN,,,Var,Var,,,,,,Var,Yetkili Servis ile Tamiri Gerekir.,,,,,,,,,,,,Ürün görselinde bulunuyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genpa Garantili,50 MP + 8 MP + 2 MP,256 GB,"6,7 inç",5G,16 GB,5000,,16 MP,15 - 20 MP,3,Yok,Android,2 Yıl,6.5'' - 7'',Var,OLED,FHD+,FHD Süper AMOLED,1,Var,FHD+,Var,5000-6000 mAh,40 - 60 MP,80-100 W,USB Type-C,Var,120 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Yeşil,Yok,,,,Var,Var,,,,,,Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genpa Garantili,108 MP + 8 MP + 2 MP,256 GB,"6,7 inç",5G,8 GB,5000,,14 - 20 MP,15 - 20 MP,3,Yok,Android,2 Yıl,6.5'' - 7'',Var,LCD,FHD+,IPS LCD,1,Var,FHD+,Var,5000-6000 mAh,100 -120 MP,60-80 W,3.5 mm,Var,120 Hz,,USB Type-C,Var,,1080p (Full HD),Var,Gri,Yok,CN,,,Var,Var,,,,,,Var,Yetkili Servis ile Tamiri Gerekir.,,,,,,,,,,,,Ürün görselinde bulunuyor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
